;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Sender Novastar VX1000;Ilość;;1 szt.;Cały event;1;;Notatka;0.03816 m3;14 kg;Brak statusu;;PARTER 3/A;80;
;;;konwerter światłowodowy Novastar CVT10-M;Ilość;;1 szt.;Cały event;1;;Notatka;0.03816 m3;12.2 kg;Brak statusu;;PARTER 3/A;81;
;;;Światłowód MPO 12 100m na bębnie;Ilość;;1 szt.;Cały event;1;;Notatka;0.03825 m3;8.4 kg;Brak statusu;;;84;
;;;Światłowód 150m;Ilość;;1 szt.;Cały event;1;;Notatka;0.022356 m3;5.4 kg;Brak statusu;;;116;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
Monitory;;;;;;;;;;;;;;;;;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
;;-;RACK Mac Studio M1 Max;Ilość;;szt.;Cały event;1;;Notatka;0 m3;0 kg;Brak statusu;;;474;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Absen Beam/ curve bar 1 m;Ilość;;10 szt.;Cały event;4;;Notatka;0.48 m3;67.8 kg;Brak statusu;;;216;
;;;Wciągarka TOR Industries 1T 6m;Ilość;;1 szt.;Cały event;2;;Notatka;0.033792 m3;36 kg;Brak statusu;;PARTER 2/B;183;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Cały event;2;;Notatka;0.34 m3;30 kg;Brak statusu;;PIETRO;282;
Obciążenie;;;;;;;;;;;;;;;;;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
;;;Rozdzielnia Elektryczna 32A;Ilość;;1 szt.;Cały event;1;;Notatka;0.069552 m3;17 kg;Brak statusu;;PARTER 1/B;123;
UPS-y;;;;;;;;;;;;;;;;;
Klapki prądowe;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
Serwery plików;;;;;;;;;;;;;;;;;
Acces Pointy;;;;;;;;;;;;;;;;;
Routery;;;;;;;;;;;;;;;;;
Switche;;;;;;;;;;;;;;;;;
Okablowanie sieciowe;;;;;;;;;;;;;;;;;
Mikrokomputery;;;;;;;;;;;;;;;;;
Akcesoria IT;;;;;;;;;;;;;;;;;
Inne;;;;;;;;;;;;;;;;;
Inne;;;;;;;;;;;;;;;;;
Narzędzia;;;;;;;;;;;;;;;;;
Narzędzia;;;;;;;;;;;;;;;;;
Wkrętarki;;;;;;;;;;;;;;;;;
Piły;;;;;;;;;;;;;;;;;
Wieratarki;;;;;;;;;;;;;;;;;
Szlifierki;;;;;;;;;;;;;;;;;
Wyrzynarki;;;;;;;;;;;;;;;;;
Poziomnice;;;;;;;;;;;;;;;;;
Nagrzewnice;;;;;;;;;;;;;;;;;
